stadium_id,name,location,capacity
1,Emirates Stadium,75 Drayton Park London N5 1BU,60704
2,Villa Park,Villa Park Birmingham B6 6HE,43205
3,Stamford Bridge,Fulham Road London SW6 1HS,
4,Goodison Park,Goodison Park Liverpool L4 4EL,52769
5,Craven Cottage,"Craven Cottage, Stevenage Road London SW6 6HH",29130
6,Anfield,Anfield Road Liverpool L4 0TH,61276
7,Etihad Stadium,SportCity Manchester M11 3FF,56347
8,Old Trafford,Sir Matt Busby Way Manchester M16 0RA,74244
9,St. James' Park,Sports Direct Arena Newcastle upon Tyne NE1 4ST,3500
10,Tottenham Hotspur Stadium,"Bill Nicholson Way, 748 High Road London N17 0AP",62850
11,Molineux Stadium,Waterloo Road Wolverhampton WV1 4QR,
12,Turf Moor,Harry Potts Way Burnley BB10 4BX,21944
13,The City Ground,"Pavilion Road, West Bridgeford Nottingham NG2 5GJ",31042
14,Selhurst Park,Whitehorse Lane London SE25 6PU,
15,Bramall Lane,"Bramall Lane Sheffield, Yorkshire S2 4SU",32050
16,Kenilworth Road Stadium,1 Maple Road Luton LU4 8AW,25000
17,The American Express Community Stadium,44 North Road Brighton & Hove BN1 1YR,
18,Griffin Park,Braemar Road Brentford TW8 0NT,17250
19,London Stadium,"Queen Elizabeth Olympic Park, London London E20 2ST",
20,Vitality Stadium,"Dean Court, Kings Park Bournemouth BH7 7AF",11307
21,Stadio Giuseppe Meazza,Via Filippo Turati 3 Milano 20121,75817
22,Stadio Artemio Franchi,Viale Manfredo Fanti 4 Firenze 50137,43147
23,Stadio Olimpico,"Via di Trigoria km. 3,600 Roma 00128",70634
24,Stadio Atleti Azzurri d'Italia,"Corso Europa, 46, Zingonia Ciserano 24040",70634
25,Stadio Renato Dall'Ara,Via Casteldebole 10 Bologna 40132,36532
26,Sardegna Arena,Viale la Plaia 15 Cagliari 09123,16412
27,Stadio Comunale Luigi Ferraris,"Via Ronchi, 67 Genova 16155",33205
28,Allianz Stadium,"Corso Galileo Ferraris, 32 Torino 10128",41689
29,Stadio San Paolo,"Centro Tecnico di Castel Volturno, Via S.S. Domitana, Km 35 Castel Volturno 81030",54732
30,Dacia Arena,Via Agostino e Angelo Candolini 2 Udine 33100,25144
31,Stadio Carlo Castellani,Piazza Matteotti Empoli 50053,
32,Stadio Marc'Antonio Bentegodi,"Via Evangelista Torricelli, 37 Verona 37136",39211
33,Stadio Arechi,"Via San Leonardo, 51 Salerno 84131",37800
34,Stadio Benito Stirpe,"Via Marittima, 2 Frosinone 03100",16227
35,Mapei Stadium - Città del Tricolore,"Piazza Risorgimento, 47 Sassuolo 41049",
36,Stadio Olimpico di Torino,Via Arcivescovado 1 Torino 10122,70634
37,Stadio Comunale Via Del Mare,Via Templari 11 Lecce 73100,
38,Stadio Comunale Brianteo,"Via Ragazzi del '99, 14 Monza 20900",17102
39,San Mamés,"Ibaigane, Alameda Mazarredo, 23 Bilbao 48009",53331
40,Estadio Wanda Metropolitano,"Paseo Virgen del Puerto, 67 Madrid 28005",
41,Estadio El Sadar,"Calle del Sadar, s/n Pamplona 31006",23516
42,Camp Nou,Avenida Arístides Maillol s/n Barcelona 08028,105000
43,Coliseum Alfonso Pérez,"Avenida Teresa de Calcuta, s/n Getafe 28903",16500
44,Estadio Nuevo Los Cármenes,"Calle del Pintor Manuel Maldonado, s/n Granada 18007",21600
