standing_id,season_id,league_id,position,team_id,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,form
1,1,1,1,7,38,28,7,3,91,96,34,62,"['W', 'W', 'W', 'W', 'W']"
2,1,1,2,1,38,28,5,5,89,91,29,62,"['W', 'W', 'W', 'W', 'W']"
3,1,1,3,6,38,24,10,4,82,86,41,45,"['W', 'D', 'W', 'D', 'L']"
4,1,1,4,2,38,20,8,10,68,76,61,15,"['L', 'D', 'L', 'D', 'W']"
5,1,1,5,10,38,20,6,12,66,74,61,13,"['W', 'L', 'W', 'L', 'L']"
6,1,1,6,3,38,18,9,11,63,77,63,14,"['W', 'W', 'W', 'W', 'W']"
7,1,1,7,9,38,18,6,14,60,85,62,23,"['W', 'L', 'D', 'W', 'W']"
8,1,1,8,8,38,18,6,14,60,57,58,-1,"['W', 'W', 'L', 'L', 'D']"
9,1,1,9,19,38,14,10,14,52,60,74,-14,"['L', 'W', 'L', 'D', 'L']"
10,1,1,10,14,38,13,10,15,49,57,58,-1,"['W', 'W', 'W', 'D', 'W']"
11,1,1,11,17,38,12,12,14,48,55,62,-7,"['L', 'L', 'D', 'W', 'L']"
12,1,1,12,4,38,13,9,16,48,40,51,-11,"['L', 'W', 'D', 'W', 'W']"
13,1,1,13,20,38,13,9,16,48,54,67,-13,"['L', 'L', 'L', 'W', 'W']"
14,1,1,14,5,38,13,8,17,47,55,61,-6,"['W', 'L', 'D', 'D', 'L']"
15,1,1,15,11,38,13,7,18,46,50,65,-15,"['L', 'L', 'L', 'W', 'L']"
16,1,1,16,18,38,10,9,19,39,56,65,-9,"['L', 'W', 'D', 'L', 'W']"
17,1,1,17,13,38,9,9,20,36,49,67,-18,"['W', 'L', 'W', 'L', 'L']"
18,1,1,18,16,38,6,8,24,26,52,85,-33,"['L', 'L', 'D', 'L', 'L']"
19,1,1,19,12,38,5,9,24,24,41,78,-37,"['L', 'L', 'L', 'D', 'W']"
20,1,1,20,15,38,3,7,28,16,35,104,-69,"['L', 'L', 'L', 'L', 'L']"
21,2,2,1,28,38,29,7,2,94,89,22,67,"['D', 'D', 'W', 'L', 'W']"
22,2,2,2,21,38,22,9,7,75,76,49,27,"['D', 'L', 'W', 'D', 'D']"
23,2,2,3,29,38,19,14,5,71,54,31,23,"['W', 'D', 'D', 'D', 'D']"
24,2,2,4,24,38,21,6,11,69,72,42,30,"['L', 'W', 'W', 'W', 'W']"
25,2,2,5,25,38,18,14,6,68,54,32,22,"['L', 'D', 'W', 'D', 'D']"
26,2,2,6,23,38,18,9,11,63,65,46,19,"['L', 'W', 'L', 'D', 'D']"
27,2,2,7,30,38,18,7,13,61,49,39,10,"['D', 'D', 'W', 'D', 'W']"
28,2,2,8,22,38,17,9,12,60,61,46,15,"['W', 'W', 'D', 'W', 'L']"
29,2,2,9,31,38,13,14,11,53,55,48,7,"['D', 'D', 'L', 'D', 'D']"
30,2,2,10,38,38,13,14,11,53,36,36,0,"['L', 'W', 'W', 'D', 'L']"
31,2,2,11,27,38,12,13,13,49,45,45,0,"['W', 'L', 'W', 'D', 'W']"
32,2,2,12,40,38,11,12,15,45,39,51,-12,"['L', 'L', 'L', 'D', 'D']"
33,2,2,13,34,38,9,11,18,38,38,51,-13,"['D', 'W', 'L', 'W', 'L']"
34,2,2,14,39,38,8,14,16,38,32,54,-22,"['D', 'L', 'L', 'D', 'D']"
35,2,2,15,32,38,6,19,13,37,37,53,-16,"['W', 'D', 'W', 'D', 'D']"
36,2,2,16,33,38,9,9,20,36,29,54,-25,"['W', 'D', 'L', 'D', 'L']"
37,2,2,17,26,38,8,12,18,36,42,68,-26,"['L', 'W', 'L', 'D', 'L']"
38,2,2,18,36,38,8,11,19,35,44,69,-25,"['L', 'W', 'L', 'D', 'W']"
39,2,2,19,37,38,7,9,22,30,43,75,-32,"['D', 'L', 'L', 'W', 'L']"
40,2,2,20,35,38,2,11,25,17,32,81,-49,"['D', 'L', 'D', 'L', 'L']"
41,3,3,1,47,38,29,8,1,95,87,26,61,"['D', 'D', 'W', 'W', 'W']"
42,3,3,2,44,38,26,7,5,85,79,44,35,"['W', 'W', 'W', 'W', 'L']"
43,3,3,3,58,38,25,6,7,81,85,46,39,"['W', 'W', 'L', 'D', 'W']"
44,3,3,4,42,38,24,4,10,76,70,43,27,"['W', 'L', 'W', 'W', 'W']"
45,3,3,5,41,38,19,11,8,68,61,37,24,"['W', 'W', 'L', 'D', 'W']"
46,3,3,6,51,38,16,12,10,60,51,39,12,"['L', 'W', 'W', 'L', 'W']"
47,3,3,7,50,38,14,15,9,57,48,45,3,"['D', 'L', 'D', 'W', 'W']"
48,3,3,8,52,38,14,11,13,53,65,65,0,"['D', 'D', 'W', 'W', 'L']"
49,3,3,9,53,38,13,10,15,49,40,45,-5,"['D', 'L', 'L', 'D', 'L']"
50,3,3,10,54,38,12,10,16,46,36,46,-10,"['D', 'W', 'L', 'D', 'W']"
51,3,3,11,43,38,12,9,17,45,45,56,-11,"['D', 'W', 'D', 'D', 'L']"
52,3,3,12,45,38,10,13,15,43,42,54,-12,"['L', 'L', 'L', 'L', 'L']"
53,3,3,13,60,38,10,11,17,41,48,54,-6,"['L', 'L', 'L', 'L', 'W']"
54,3,3,14,59,38,10,11,17,41,46,57,-11,"['D', 'W', 'W', 'L', 'W']"
55,3,3,15,49,38,8,16,14,40,33,44,-11,"['W', 'D', 'D', 'W', 'L']"
56,3,3,16,57,38,10,10,18,40,33,47,-14,"['D', 'D', 'D', 'L', 'L']"
57,3,3,17,48,38,8,14,16,38,29,48,-19,"['L', 'L', 'W', 'D', 'L']"
58,3,3,18,55,38,6,15,17,33,26,55,-29,"['L', 'D', 'W', 'W', 'L']"
59,3,3,19,56,38,3,12,23,21,43,75,-32,"['W', 'D', 'L', 'L', 'W']"
60,3,3,20,46,38,4,9,25,21,38,79,-41,"['L', 'L', 'L', 'L', 'L']"
61,4,4,1,63,34,28,6,0,90,89,24,65,"['W', 'W', 'W', 'D', 'D']"
62,4,4,2,66,34,23,4,7,73,78,39,39,"['W', 'W', 'W', 'D', 'L']"
